price,date,rate
1080000,2021-11-1,1177.99
1195000,2021-12-1,1176.00
1122360,2022-1-1,1188.75
967400,2022-2-1,1202.14
748990,2022-3-1,1202.83
647400,2022-4-1,1217.53
682840,2022-5-1,1258.74
634490,2022-6-1,1242.94
582000,2022-7-1,1297.44
579380,2022-8-2,1309.82
577970,2022-8-9,1306.18
573000,2022-8-16,1312.47
584390,2022-8-23,1341.90
573230,2022-8-30,1346.34
586600,2022-9-6,1376.56
592740,2022-9-13,1373.27
583750,2022-9-20,1392.66
561500,2022-9-27,1420.63
498440,2022-10-4,1427.76
573590,2022-10-11,1432.52
573590,2022-10-18,1424.42
